beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
"Divine Reserve No. 11","Saint Arnold Brewing Company","IPA - Imperial / Double",8.9,76,,,,,,,,5,"2011-04-01 17:45:33",https://untappd.com/c/564042,https://untappd.com/beer/110037,https://untappd.com/brewery/2940,"United States",Houston,TX,,,,564042,110037,2940,,4.01,3.96,,0,0
"Yellow Armadillo Wheat","Thirsty Planet Brewing Company","Wheat Beer - American Pale Wheat",4,18,,"Katy Trail Ice House",Dallas,TX,"United States",32.801,-96.8075,,"2011-04-01 18:33:32",https://untappd.com/c/564717,https://untappd.com/beer/13545,https://untappd.com/brewery/3587,"United States",Austin,TX,,,,564717,13545,3587,,3.35,3.38,,0,0
"Ovila Dubbel","Sierra Nevada Brewing Co.","Belgian Dubbel",7.5,0,,"Whole Foods Market",Dallas,TX,"United States",32.8716,-96.7658,5,"2011-04-03 13:37:16",https://untappd.com/c/580926,https://untappd.com/beer/11816,https://untappd.com/brewery/1142,"United States",Chico,CA,,,,580926,11816,1142,,3.76,3.76,,0,0
"Drink'in The Sunbelt","Jester King Brewery","Wheat Beer - American Pale Wheat",3.9,0,,"Whole Foods Market",Dallas,TX,"United States",32.8716,-96.7658,,"2011-04-03 14:08:35",https://untappd.com/c/581115,https://untappd.com/beer/37627,https://untappd.com/brewery/5291,"United States",Austin,TX,,,,581115,37627,5291,,3.64,3.64,,0,0
"(512) Black IPA","(512) Brewing Company","IPA - Black / Cascadian Dark Ale",7,70,,"Trinity Hall Irish Pub and Restaurant",Dallas,TX,"United States",32.838,-96.7759,,"2011-04-03 15:17:06",https://untappd.com/c/581585,https://untappd.com/beer/36933,https://untappd.com/brewery/1,"United States",Austin,TX,,,,581585,36933,1,,3.75,3.75,,0,0
"Bucking Bock","Rahr & Sons Brewing Company","Bock - Hell / Maibock / Lentebock",7,34,,"Cane Rosso",Dallas,TX,"United States",32.7826,-96.7855,,"2011-04-08 12:58:30",https://untappd.com/c/611244,https://untappd.com/beer/5030,https://untappd.com/brewery/1038,"United States","Fort Worth",TX,,,,611244,5030,1038,,3.58,3.58,,0,0
"Three Philosophers","Brewery Ommegang","Belgian Quadrupel",9.7,19,,"Blue Ginger Malaysian Cuisine",Plano,TX,"United States",33.0397,-96.7516,,"2011-04-08 19:35:47",https://untappd.com/c/614732,https://untappd.com/beer/6765,https://untappd.com/brewery/249,"United States",Cooperstown,NY,,,,614732,6765,249,,3.95,3.95,,0,0
"Namaste White","Dogfish Head Craft Brewery","Wheat Beer - Witbier",4.8,20,,"Blue Ginger Malaysian Cuisine",Plano,TX,"United States",33.0397,-96.7516,,"2011-04-08 20:14:42",https://untappd.com/c/615473,https://untappd.com/beer/6400,https://untappd.com/brewery/459,"United States",Milton,DE,,,,615473,6400,459,,3.6,3.6,,0,0
"The Incredible Hop - Imperial Black IPA","Fort Collins Brewery (FCB)","IPA - Imperial / Double Black",10,0,,"Blue Ginger Malaysian Cuisine",Plano,TX,"United States",33.0397,-96.7516,,"2011-04-08 20:43:34",https://untappd.com/c/615985,https://untappd.com/beer/30649,https://untappd.com/brewery/545,"United States","Fort Collins",CO,,,,615985,30649,545,,3.71,3.7,,0,0
Pilz,"Live Oak Brewing Company","Pilsner - Czech",4.7,36,,"The Ginger Man",Plano,TX,"United States",33.0764,-96.8215,,"2011-04-09 01:03:51",https://untappd.com/c/619054,https://untappd.com/beer/5280,https://untappd.com/brewery/797,"United States",Austin,TX,,,,619054,5280,797,,3.58,3.58,,0,0
